id,signup_date,loyalty,location,gender,age,favorite_movie_line,number_of_purchases,value_of_purchases,total_standard_points,total_points_redeemed
1,2012-01-01,enrolled,LA,,oldish,,,,,
2,2012-01-01,enrolled,,,youthful,,,,,
3,2012-01-01,control,,,wise,"Say ""hello"" to my little friend!",,,,
4,2012-01-01,enrolled,,C,young,,,,,
5,2012-01-01,enrolled,LA,A,youthful,"Hello, gorgeous.",,,,
6,2012-01-01,enrolled,,D,,"Open the pod bay doors, HAL.",,,,
7,2012-01-01,control,NYC,,,It's alive!  It's alive!,,,,
8,2012-01-01,control,,B,,,,,,
9,2012-01-01,control,,A,young,,,,,
10,2012-01-01,enrolled,SF,,,,,,,
11,2012-01-01,enrolled,LA,,,It's alive!  It's alive!,,,,
12,2012-01-01,enrolled,,B,,Here's Johnny!,,,,
13,2012-01-01,control,,D,youthful,,,,,
14,2012-01-01,enrolled,,,youthful,What we've got here is failure to communicate.,,,,
15,2012-01-01,control,NYC,,,,,,,
16,2012-01-01,enrolled,,A,oldish,"A martini.  Shaken, not stirred.",,,,
17,2012-01-01,control,LA,C,,Tell 'em to go out there with all they got and win just one for the Gipper.,,,,
18,2012-01-01,control,,C,youthful,,,,,
19,2012-01-01,control,SF,,wise,,,,,
20,2012-01-01,control,,C,young,"Made it, Ma! Top of the world!",,,,
21,2012-01-01,enrolled,,,youthful,,,,,
22,2012-01-01,control,,C,oldish,They call me Mister Tibbs!,,,,
23,2012-01-01,enrolled,NYC,C,,,,,,
24,2012-01-01,enrolled,,,,,,,,
25,2012-01-01,control,NYC,,,I'll be back.,,,,
26,2012-01-01,control,,C,,,,,,
27,2012-01-01,control,,,,"Hello, gorgeous.",,,,
28,2012-01-01,enrolled,,,,,,,,
29,2012-01-01,enrolled,NYC,,wise,E.T. phone home.,,,,
30,2012-01-01,control,LA,,,"Frankly, my dear, I don't give a damn.",,,,
31,2012-01-01,control,LA,B,,I'll have what she's having.,,,,
32,2012-01-01,enrolled,,,oldish,,,,,
33,2012-01-02,control,LA,D,youthful,,,,,
34,2012-01-02,enrolled,,,,,,,,
35,2012-01-02,control,,A,,"Frankly, my dear, I don't give a damn.",,,,
36,2012-01-02,enrolled,LA,,,,,,,
37,2012-01-02,control,,D,,"You've got to ask yourself one question: 'Do I feel lucky?' Well, do ya, punk?",,,,
38,2012-01-02,control,SF,B,wise,There's no crying in baseball!,,,,
39,2012-01-02,enrolled,SF,B,,,,,,
40,2012-01-02,enrolled,,B,oldish,,,,,
41,2012-01-02,enrolled,,A,,,,,,
42,2012-01-02,control,NYC,A,,,,,,
43,2012-01-02,control,,,,,,,,
44,2012-01-02,enrolled,SF,B,,"Hello, gorgeous.",,,,
45,2012-01-02,enrolled,NYC,A,,There's no place like home. ,,,,
46,2012-01-02,enrolled,LA,D,,"I'm as mad as hell, and I'm not going to take this anymore!",,,,
47,2012-01-02,enrolled,LA,B,young,,,,,
48,2012-01-02,enrolled,LA,,,"One morning I shot an elephant in my pajamas. How he got in my pajamas, I don't know.",,,,
49,2012-01-02,control,,A,,,,,,
50,2012-01-02,control,NYC,,oldish,"Frankly, my dear, I don't give a damn.",,,,
51,2012-01-02,control,LA,B,wise,"Frankly, my dear, I don't give a damn.",,,,
52,2012-01-02,enrolled,,,young,,,,,
53,2012-01-02,control,,D,youthful,Fasten your seatbelts. It's going to be a bumpy night.,,,,
54,2012-01-02,control,,,,,,,,
55,2012-01-02,enrolled,LA,C,youthful,,,,,
56,2012-01-02,enrolled,LA,D,youthful,,,,,
57,2012-01-02,enrolled,SF,C,young,,,,,
58,2012-01-02,control,LA,,oldish,,,,,
59,2012-01-02,control,,,young,,,,,
60,2012-01-02,control,,,,,,,,
61,2012-01-02,control,LA,C,wise,"Stella!  Hey, Stella!",,,,
62,2012-01-02,enrolled,LA,,young,,,,,
63,2012-01-02,enrolled,,,,"Frankly, my dear, I don't give a damn.",,,,
64,2012-01-03,enrolled,SF,,youthful,,,,,
65,2012-01-03,control,,,,"Well, nobody's perfect.",,,,
66,2012-01-03,control,SF,,wise,"Frankly, my dear, I don't give a damn.",,,,
67,2012-01-03,enrolled,,B,,"As God is my witness, I'll never be hungry again.",,,,
68,2012-01-03,control,LA,A,,"Mother of mercy, is this the end of Rico?",,,,
69,2012-01-03,control,,D,young,,,,,
70,2012-01-03,enrolled,NYC,B,oldish,It's alive!  It's alive!,,,,
71,2012-01-03,control,,A,,"Here's looking at you, kid.",,,,
72,2012-01-03,control,LA,,,"Mrs. Robinson, you're trying to seduce me.  Aren't you?",,,,
73,2012-01-03,control,,D,,,,,,
74,2012-01-03,control,,,wise,Listen to them.  Children of the night.  What music they make.,,,,
75,2012-01-03,control,,D,wise,"Stella!  Hey, Stella!",,,,
76,2012-01-03,enrolled,,B,,,,,,
77,2012-01-03,control,,D,young,,,,,
78,2012-01-03,enrolled,LA,D,young,It's alive!  It's alive!,,,,
79,2012-01-03,enrolled,SF,C,,"Frankly, my dear, I don't give a damn.",,,,
80,2012-01-03,control,,C,oldish,,,,,
81,2012-01-03,control,SF,,oldish,"You know how to whistle, don't you, Steve? You just put your lips together and blow.",,,,
82,2012-01-03,control,,,,"I'll get you, my pretty, and your little dog, too!",,,,
83,2012-01-03,control,SF,,young,"Well, nobody's perfect.",,,,
84,2012-01-03,enrolled,,D,,Who's on first.,,,,
85,2012-01-03,control,,,,,,,,
86,2012-01-03,enrolled,,,,,,,,
87,2012-01-03,control,,,,Rosebud.,,,,
88,2012-01-03,enrolled,,,,,,,,
89,2012-01-03,control,LA,D,,I'm the king of the world!,,,,
90,2012-01-03,enrolled,,D,young,I love the smell of napalm in the morning. ,,,,
91,2012-01-03,enrolled,SF,,,,,,,
92,2012-01-03,enrolled,,C,,"Life is a banquet, and most poor suckers are starving to death!",,,,
93,2012-01-04,enrolled,SF,,,I'm walking here!  I'm walking here!,,,,
94,2012-01-04,control,,,oldish,,,,,
95,2012-01-04,control,,D,,"One morning I shot an elephant in my pajamas. How he got in my pajamas, I don't know.",,,,
96,2012-01-04,control,,A,,,,,,
97,2012-01-04,control,SF,,,I'm the king of the world!,,,,
98,2012-01-04,enrolled,NYC,,youthful,"Here's looking at you, kid.",,,,
99,2012-01-04,enrolled,NYC,D,,"Say ""hello"" to my little friend!",,,,
100,2012-01-04,control,NYC,,wise,,,,,
101,2012-01-04,control,NYC,B,,,,,,
102,2012-01-04,enrolled,SF,,,"Greed, for lack of a better word, is good.",,,,
103,2012-01-04,control,LA,B,,,,,,
104,2012-01-04,control,NYC,A,young,,,,,
105,2012-01-04,enrolled,NYC,,,,,,,
106,2012-01-04,enrolled,LA,,youthful,We rob banks.,,,,
107,2012-01-04,control,NYC,C,wise,,,,,
108,2012-01-04,control,LA,,,They're here!,,,,
109,2012-01-04,enrolled,LA,,,,,,,
110,2012-01-04,enrolled,,D,,"Keep your friends close, but your enemies closer.",,,,
111,2012-01-04,control,LA,,youthful,Fasten your seatbelts. It's going to be a bumpy night.,,,,
112,2012-01-04,control,NYC,,oldish,"Elementary, my dear Watson.",,,,
113,2012-01-05,enrolled,,,wise,,,,,
114,2012-01-05,control,NYC,C,youthful,,,,,
115,2012-01-05,enrolled,,,,They call me Mister Tibbs!,,,,
116,2012-01-05,control,SF,,,,,,,
117,2012-01-05,enrolled,LA,A,oldish,,,,,
118,2012-01-05,control,,C,,,,,,
119,2012-01-05,control,LA,,oldish,,,,,
120,2012-01-05,enrolled,,,,"Frankly, my dear, I don't give a damn.",,,,
121,2012-01-05,control,,D,young,"Hello, gorgeous.",,,,
122,2012-01-05,enrolled,,,,,,,,
123,2012-01-05,control,NYC,D,,,,,,
124,2012-01-05,control,,D,,They're here!,,,,
125,2012-01-05,control,NYC,,,My mother thanks you. My father thanks you. My sister thanks you. And I thank you.,,,,
126,2012-01-05,control,NYC,B,youthful,"Take your stinking paws off me, you damned dirty ape.",,,,
127,2012-01-05,control,,,youthful,My mother thanks you. My father thanks you. My sister thanks you. And I thank you.,,,,
128,2012-01-05,enrolled,SF,,,,,,,
129,2012-01-05,enrolled,NYC,,wise,"Of all the gin joints in all the towns in all the world, she walks into mine.",,,,
130,2012-01-05,control,,,,It's alive!  It's alive!,,,,
131,2012-01-05,control,,,,"Sawyer, you're going out a youngster, but you've got to come back a star!",,,,
132,2012-01-05,control,NYC,B,young,"Hello, gorgeous.",,,,
133,2012-01-05,enrolled,,B,,,,,,
134,2012-01-05,control,,C,,What we've got here is failure to communicate.,,,,
135,2012-01-05,enrolled,SF,C,youthful,,,,,
136,2012-01-05,control,LA,,young,,,,,
137,2012-01-05,enrolled,LA,,youthful,They're here!,,,,
138,2012-01-06,control,,,,You talking to me?,,,,
139,2012-01-06,enrolled,LA,,,,,,,
140,2012-01-06,control,SF,,young,Tell 'em to go out there with all they got and win just one for the Gipper.,,,,
141,2012-01-06,enrolled,,,,My mother thanks you. My father thanks you. My sister thanks you. And I thank you.,,,,
142,2012-01-06,enrolled,,B,,It's alive!  It's alive!,,,,
143,2012-01-06,control,SF,D,,,,,,
144,2012-01-06,control,,,youthful,,,,,
145,2012-01-06,enrolled,NYC,D,young,"You've got to ask yourself one question: 'Do I feel lucky?' Well, do ya, punk?",,,,
146,2012-01-06,enrolled,LA,C,,,,,,
147,2012-01-06,control,,,wise,,,,,
148,2012-01-06,control,,,oldish,"One morning I shot an elephant in my pajamas. How he got in my pajamas, I don't know.",,,,
149,2012-01-06,control,,C,,,,,,
150,2012-01-06,enrolled,SF,,,"Frankly, my dear, I don't give a damn.",,,,
151,2012-01-06,enrolled,,,youthful,You can't handle the truth!,,,,
152,2012-01-06,control,SF,D,,,,,,
153,2012-01-06,enrolled,SF,,,,,,,
154,2012-01-06,enrolled,,,young,,,,,
155,2012-01-06,enrolled,NYC,B,,"Hello, gorgeous.",,,,
156,2012-01-06,control,,B,,,,,,
157,2012-01-06,enrolled,,,oldish,,,,,
158,2012-01-06,control,LA,,young,What we've got here is failure to communicate.,,,,
159,2012-01-07,enrolled,NYC,,,Is it safe?,,,,
160,2012-01-07,enrolled,NYC,B,,,,,,
161,2012-01-07,enrolled,NYC,C,,,,,,
162,2012-01-07,control,LA,A,wise,"Frankly, my dear, I don't give a damn.",,,,
163,2012-01-07,control,LA,,,,,,,
164,2012-01-07,control,,,,,,,,
165,2012-01-07,enrolled,,B,youthful,,,,,
166,2012-01-07,enrolled,SF,C,,,,,,
167,2012-01-07,control,,C,young,,,,,
168,2012-01-07,enrolled,,,oldish,,,,,
169,2012-01-07,enrolled,,B,wise,Tell 'em to go out there with all they got and win just one for the Gipper.,,,,
170,2012-01-07,enrolled,,,,,,,,
171,2012-01-07,enrolled,LA,C,young,,,,,
172,2012-01-07,enrolled,,,,,,,,
173,2012-01-07,control,,,,,,,,
174,2012-01-07,control,,B,,They're here!,,,,
175,2012-01-07,enrolled,SF,D,,It's alive!  It's alive!,,,,
176,2012-01-07,enrolled,,,young,"Toto, I've a feeling we're not in Kansas anymore.",,,,
177,2012-01-07,enrolled,,,wise,,,,,
178,2012-01-07,control,LA,,,"Gentlemen, you can't fight in here! This is the War Room!",,,,
179,2012-01-07,enrolled,,,youthful,,,,,
180,2012-01-07,enrolled,SF,,,,,,,
181,2012-01-07,control,,A,wise,They're here!,,,,
182,2012-01-07,enrolled,,,,,,,,
183,2012-01-07,enrolled,,,,,,,,
184,2012-01-07,control,,D,,,,,,
185,2012-01-07,control,,,wise,,,,,
186,2012-01-07,enrolled,,,oldish,,,,,
187,2012-01-07,control,LA,,,"Frankly, my dear, I don't give a damn.",,,,
188,2012-01-07,control,LA,,,,,,,
189,2012-01-07,control,,C,,They call me Mister Tibbs!,,,,
190,2012-01-07,enrolled,LA,,,,,,,
191,2012-01-07,control,NYC,D,youthful,,,,,
192,2012-01-07,control,SF,A,wise,"You don't understand!  I coulda had class. I coulda been a contender. I could've been somebody, instead of a bum, which is what I am.",,,,
193,2012-01-07,control,LA,A,oldish,,,,,
194,2012-01-07,control,LA,B,,,,,,
195,2012-01-07,enrolled,NYC,A,youthful,,,,,
196,2012-01-07,control,,,wise,,,,,
197,2012-01-08,enrolled,SF,A,youthful,A boy's best friend is his mother.,,,,
198,2012-01-08,enrolled,SF,C,,,,,,
