date,user_id,value,point_differential
2012-01-01,17,1074,0
2012-01-02,17,381,0
2012-01-02,27,2539,0
2012-01-03,6,1572,150
2012-01-03,41,1167,110
2012-01-03,48,2457,240
2012-01-03,65,4073,0
2012-01-03,70,1425,140
2012-01-04,7,2223,0
2012-01-04,78,1403,140
2012-01-04,86,7342,730
2012-01-05,13,5092,0
2012-01-05,91,4089,400
2012-01-06,27,2703,0
2012-01-06,65,3371,0
2012-01-06,85,2516,0
2012-01-06,146,7598,750
2012-01-07,97,945,0
2012-01-07,99,2012,200
2012-01-07,123,6480,0
2012-01-08,49,2399,0
2012-01-08,55,5231,520
2012-01-08,158,2074,0
2012-01-08,183,956,90
2012-01-08,202,4664,460
2012-01-09,13,5224,0
2012-01-09,50,5112,0
2012-01-09,202,4028,400
2012-01-09,212,733,70
2012-01-09,225,8421,840
2012-01-09,247,2925,290
2012-01-10,88,5431,540
2012-01-10,115,4713,470
2012-01-10,161,2703,270
2012-01-10,190,3024,300
2012-01-10,265,3160,310
2012-01-10,271,1533,0
2012-01-11,27,2573,0
2012-01-11,41,885,80
2012-01-11,160,1022,100
2012-01-11,172,5688,560
2012-01-11,225,8630,860
2012-01-11,256,1124,0
2012-01-11,272,1404,140
2012-01-12,43,1669,0
2012-01-12,115,4446,440
2012-01-12,126,2173,0
2012-01-12,129,1101,110
2012-01-12,171,2293,220
2012-01-12,190,3607,360
2012-01-12,202,4032,400
2012-01-12,212,842,80
2012-01-12,291,2530,250
2012-01-12,327,3734,370
2012-01-13,6,2925,290
2012-01-13,102,3160,310
2012-01-13,128,490,40
2012-01-13,172,5532,550
2012-01-13,267,4286,420
2012-01-13,333,997,0
2012-01-14,17,1248,0
2012-01-14,70,2040,200
2012-01-14,76,1756,170
2012-01-14,102,2656,260
2012-01-14,188,4610,0
2012-01-14,216,3587,350
2012-01-14,246,2002,0
2012-01-14,258,1724,0
2012-01-14,280,1152,110
2012-01-14,322,4461,440
2012-01-14,335,2580,0
2012-01-15,115,3657,360
2012-01-15,155,2743,270
2012-01-15,158,931,0
2012-01-15,190,5217,520
2012-01-15,191,10876,0
2012-01-15,202,2881,280
2012-01-15,212,1406,140
2012-01-15,237,845,0
2012-01-15,268,7849,780
2012-01-15,274,2539,0
2012-01-15,310,4150,410
2012-01-15,322,4510,450
2012-01-15,343,3094,0
2012-01-15,349,5628,560
2012-01-16,26,1982,0
2012-01-16,86,5364,530
2012-01-16,99,2198,210
2012-01-16,115,5478,540
2012-01-16,225,8703,870
2012-01-16,232,2881,280
2012-01-16,343,3206,0
2012-01-16,379,824,80
2012-01-16,410,1340,130
2012-01-17,6,3539,350
2012-01-17,65,3767,0
2012-01-17,85,1771,0
2012-01-17,102,2549,250
2012-01-17,115,4956,490
2012-01-17,145,1130,110
2012-01-17,155,2608,260
2012-01-17,371,1317,0
2012-01-17,404,2618,0
2012-01-17,410,2006,200
2012-01-17,423,4915,490
2012-01-17,455,4027,400
2012-01-18,55,4229,420
2012-01-18,76,1246,120
2012-01-18,86,6248,620
2012-01-18,122,708,70
2012-01-18,155,2620,260
2012-01-18,321,1213,120
2012-01-18,369,1984,190
2012-01-18,409,1304,130
2012-01-18,420,1576,150
2012-01-18,423,6221,620
2012-01-18,482,4899,0
2012-01-19,85,2398,0
2012-01-19,114,3206,0
2012-01-19,115,5022,500
2012-01-19,131,57,0
2012-01-19,141,5402,540
2012-01-19,268,8337,830
2012-01-19,343,2224,0
2012-01-19,347,10029,1000
2012-01-19,349,6229,620
2012-01-19,389,4027,0
2012-01-19,423,6578,650
2012-01-19,495,2667,0
2012-01-20,5,2810,280
2012-01-20,27,2135,0
2012-01-20,85,2177,0
2012-01-20,115,5238,520
2012-01-20,131,172,0
2012-01-20,146,6762,670
2012-01-20,284,1294,120
2012-01-20,400,2455,0
2012-01-20,452,2463,0
2012-01-21,26,767,0
2012-01-21,27,3031,0
2012-01-21,50,4129,0
2012-01-21,125,3645,0
2012-01-21,131,320,0
2012-01-21,172,5446,540
2012-01-21,190,4662,460
2012-01-21,285,1798,170
2012-01-21,294,2610,260
2012-01-21,422,5106,510
2012-01-21,423,6272,620
2012-01-21,460,2414,240
2012-01-21,486,825,80
2012-01-21,511,3115,310
2012-01-21,528,118,10
2012-01-21,529,9210,920
2012-01-21,531,1316,0
2012-01-21,535,791,70
2012-01-22,69,1440,0
2012-01-22,115,5151,510
2012-01-22,190,4827,480
2012-01-22,307,2574,0
2012-01-22,379,2627,260
2012-01-22,423,6347,630
2012-01-22,455,4680,460
2012-01-22,483,2316,230
2012-01-22,530,2715,0
2012-01-23,17,822,0
2012-01-23,55,4748,470
2012-01-23,99,4236,420
2012-01-23,122,1100,110
2012-01-23,158,1512,0
2012-01-23,178,984,0
2012-01-23,198,1818,180
2012-01-23,202,3804,380
2012-01-23,212,676,60
2012-01-23,224,5530,0
2012-01-23,227,866,80
2012-01-23,268,10256,1020
2012-01-23,366,1787,170
2012-01-23,371,1292,0
2012-01-23,422,6177,610
2012-01-23,423,7056,700
2012-01-23,480,3857,380
2012-01-23,582,636,0
2012-01-24,27,2731,0
2012-01-24,99,2996,290
2012-01-24,203,6504,0
2012-01-24,211,1146,110
2012-01-24,216,3101,310
2012-01-24,225,8854,880
2012-01-24,238,533,0
2012-01-24,285,2528,250
2012-01-24,356,4338,0
2012-01-24,386,3625,360
2012-01-24,423,5500,550
2012-01-24,481,1298,120
2012-01-24,536,8178,810
2012-01-24,661,2343,230
2012-01-25,55,4379,430
2012-01-25,110,4393,430
2012-01-25,115,3381,330
2012-01-25,155,2244,220
2012-01-25,158,649,0
2012-01-25,277,2175,210
2012-01-25,343,1962,0
2012-01-25,444,618,0
2012-01-25,452,3050,0
2012-01-25,453,1822,0
2012-01-25,480,4921,490
2012-01-25,536,7446,740
2012-01-25,554,4162,410
2012-01-25,565,3249,0
2012-01-25,627,3711,0
2012-01-25,640,3068,300
2012-01-25,667,1928,190
2012-01-26,13,4690,0
